-1.903,-4.190,9.419,-0.222,-0.092,-0.116,84319
-1.867,-4.192,9.428,-0.190,-0.081,-0.109,84324
-1.829,-4.211,9.424,-0.154,-0.064,-0.103,84328
-1.810,-4.252,9.400,-0.126,-0.043,-0.092,84331
-1.767,-4.283,9.347,-0.111,-0.021,-0.079,84335
-1.690,-4.283,9.325,-0.110,0.001,-0.068,84339
-1.626,-4.269,9.313,-0.127,0.020,-0.063,84343
-1.580,-4.276,9.287,-0.156,0.035,-0.062,84347
-1.580,-4.290,9.270,-0.178,0.042,-0.065,84350
-1.580,-4.319,9.242,-0.201,0.048,-0.071,84354
-1.609,-4.348,9.230,-0.213,0.048,-0.076,84358
-1.659,-4.365,9.208,-0.214,0.046,-0.080,84362
-1.695,-4.365,9.210,-0.209,0.042,-0.080,84366
-1.721,-4.372,9.234,-0.204,0.039,-0.077,84370
-1.774,-4.417,9.246,-0.208,0.038,-0.071,84374
-1.820,-4.434,9.273,-0.222,0.039,-0.062,84378
-1.884,-4.453,9.299,-0.250,0.042,-0.045,84381
-1.925,-4.475,9.337,-0.276,0.049,-0.026,84385
-1.915,-4.463,9.390,-0.289,0.056,-0.005,84389
-1.865,-4.444,9.436,-0.277,0.063,0.014,84393
-1.808,-4.405,9.459,-0.252,0.068,0.025,84397
-1.743,-4.338,9.459,-0.209,0.072,0.034,84400
-1.695,-4.274,9.426,-0.164,0.073,0.033,84404
-1.686,-4.278,9.378,-0.127,0.072,0.026,84408
-1.772,-4.341,9.304,-0.117,0.059,0.019,84417
-1.762,-4.369,9.297,-0.146,0.034,0.017,84423
-1.705,-4.350,9.345,-0.165,0.012,0.012,84426
-1.642,-4.288,9.404,-0.177,-0.011,0.000,84430
-1.614,-4.233,9.469,-0.178,-0.032,-0.015,84434
-1.607,-4.192,9.531,-0.164,-0.045,-0.030,84438
-1.614,-4.192,9.555,-0.140,-0.048,-0.042,84442
-1.621,-4.204,9.536,-0.118,-0.044,-0.047,84445
-1.645,-4.214,9.507,-0.088,-0.033,-0.047,84449
-1.674,-4.226,9.459,-0.064,-0.020,-0.042,84453
-1.688,-4.216,9.369,-0.049,-0.007,-0.032,84457
-1.709,-4.195,9.285,-0.051,0.002,-0.022,84461
-1.729,-4.173,9.191,-0.072,0.004,-0.014,84465
-1.738,-4.135,9.155,-0.110,0.003,-0.007,84469
-1.731,-4.128,9.148,-0.156,-0.003,-0.006,84473
-1.729,-4.106,9.172,-0.190,-0.011,-0.009,84477
-1.695,-4.099,9.230,-0.225,-0.021,-0.015,84480
-1.681,-4.104,9.333,-0.246,-0.027,-0.021,84484
-1.674,-4.128,9.424,-0.251,-0.029,-0.024,84488
-1.674,-4.166,9.498,-0.244,-0.022,-0.023,84492
-1.674,-4.192,9.548,-0.233,-0.013,-0.020,84496
-1.695,-4.240,9.577,-0.214,0.005,-0.013,84499
-1.731,-4.278,9.603,-0.192,0.025,-0.001,84503
-1.774,-4.262,9.562,-0.167,0.050,0.021,84508
-1.793,-4.235,9.493,-0.159,0.072,0.043,84514
-1.800,-4.228,9.443,-0.179,0.082,0.055,84518
-1.817,-4.226,9.407,-0.202,0.081,0.058,84521
-1.822,-4.233,9.395,-0.234,0.070,0.059,84525
-1.827,-4.262,9.416,-0.259,0.049,0.056,84529
-1.805,-4.281,9.455,-0.269,0.021,0.051,84533
