1.377,2.804,9.687,-0.065,0.019,0.156
1.413,2.806,9.694,-0.064,0.019,0.147
1.439,2.804,9.685,-0.064,0.019,0.139
1.441,2.813,9.694,-0.066,0.020,0.130
1.429,2.818,9.694,-0.069,0.021,0.124
1.439,2.828,9.706,-0.074,0.022,0.114
1.441,2.830,9.720,-0.077,0.022,0.106
1.458,2.842,9.723,-0.082,0.023,0.096
1.468,2.849,9.713,-0.086,0.025,0.089
1.487,2.854,9.689,-0.088,0.025,0.079
1.516,2.861,9.687,-0.091,0.026,0.068
1.518,2.866,9.697,-0.091,0.027,0.058
1.518,2.868,9.677,-0.090,0.027,0.046
1.516,2.847,9.668,-0.089,0.024,0.035
1.506,2.823,9.663,-0.087,0.021,0.023
1.508,2.804,9.665,-0.086,0.019,0.015
1.511,2.763,9.658,-0.083,0.016,0.007
1.506,2.717,9.656,-0.081,0.013,0.002
1.487,2.698,9.665,-0.081,0.010,-0.002
1.480,2.691,9.646,-0.083,0.007,-0.004
1.477,2.674,9.627,-0.085,0.005,-0.007
1.482,2.665,9.627,-0.089,0.003,-0.010
1.499,2.670,9.615,-0.093,-0.001,-0.015
1.508,2.691,9.634,-0.097,-0.004,-0.020
1.496,2.717,9.663,-0.100,-0.006,-0.023
1.504,2.729,9.699,-0.104,-0.008,-0.029
1.508,2.734,9.692,-0.108,-0.008,-0.034
1.518,2.751,9.723,-0.113,-0.009,-0.041
1.532,2.768,9.752,-0.117,-0.009,-0.048
1.549,2.725,9.864,-0.125,-0.011,-0.076
1.561,2.720,9.914,-0.124,-0.011,-0.088
1.554,2.705,9.955,-0.121,-0.010,-0.098
1.551,2.691,9.960,-0.120,-0.011,-0.105
1.559,2.667,9.960,-0.118,-0.013,-0.112
1.551,2.650,9.969,-0.117,-0.013,-0.121
1.556,2.638,9.998,-0.116,-0.015,-0.127
1.547,2.631,10.008,-0.115,-0.015,-0.132
1.547,2.602,10.046,-0.115,-0.016,-0.136
1.539,2.595,10.063,-0.114,-0.017,-0.140
1.542,2.583,10.096,-0.114,-0.017,-0.145
1.537,2.557,10.123,-0.113,-0.016,-0.150
1.535,2.528,10.161,-0.112,-0.015,-0.154
1.528,2.509,10.171,-0.110,-0.014,-0.160
1.530,2.485,10.175,-0.107,-0.013,-0.164
1.530,2.456,10.185,-0.102,-0.010,-0.170
1.525,2.435,10.178,-0.098,-0.007,-0.173
1.504,2.411,10.173,-0.093,-0.004,-0.176
1.506,2.382,10.168,-0.090,-0.001,-0.180
1.501,2.342,10.154,-0.089,0.005,-0.183
1.504,2.318,10.156,-0.090,0.007,-0.184
1.489,2.289,10.161,-0.092,0.011,-0.186
1.480,2.263,10.154,-0.094,0.014,-0.188
1.482,2.241,10.142,-0.095,0.017,-0.189
1.475,2.229,10.151,-0.095,0.019,-0.189
1.465,2.198,10.166,-0.098,0.025,-0.192
1.456,2.193,10.159,-0.102,0.030,-0.197
1.453,2.164,10.151,-0.106,0.035,-0.202
1.417,2.136,10.226,-0.098,0.042,-0.201
1.381,2.109,10.317,-0.094,0.048,-0.203
1.346,2.076,10.372,-0.095,0.058,-0.205
1.348,2.021,10.350,-0.095,0.067,-0.206
1.343,1.944,10.259,-0.091,0.079,-0.203
1.358,1.894,10.142,-0.082,0.086,-0.196
1.367,1.844,10.039,-0.070,0.090,-0.187
1.362,1.800,9.962,-0.060,0.092,-0.181
1.336,1.760,9.881,-0.053,0.091,-0.172
1.319,1.717,9.807,-0.048,0.087,-0.160
1.283,1.712,9.730,-0.046,0.082,-0.142
1.262,1.712,9.704,-0.046,0.079,-0.127
1.245,1.757,9.656,-0.050,0.075,-0.106
1.228,1.827,9.625,-0.058,0.069,-0.087
1.219,1.901,9.625,-0.067,0.064,-0.072
