-5.126,-1.281,8.662,-0.038,0.026,-0.011
-5.140,-1.257,8.679,-0.037,0.027,-0.010
-5.148,-1.245,8.677,-0.035,0.027,-0.009
-5.152,-1.223,8.684,-0.032,0.029,-0.009
-5.155,-1.199,8.672,-0.029,0.030,-0.010
-5.160,-1.197,8.679,-0.028,0.033,-0.012
-5.164,-1.176,8.689,-0.027,0.034,-0.014
-5.162,-1.144,8.665,-0.026,0.035,-0.017
-5.152,-1.125,8.674,-0.026,0.037,-0.019
-5.157,-1.123,8.669,-0.028,0.036,-0.022
-5.145,-1.113,8.669,-0.029,0.037,-0.025
-5.150,-1.094,8.631,-0.033,0.035,-0.029
-5.150,-1.097,8.617,-0.035,0.034,-0.032
-5.155,-1.111,8.629,-0.038,0.034,-0.035
-5.143,-1.125,8.622,-0.039,0.032,-0.037
-5.131,-1.142,8.622,-0.042,0.031,-0.040
-5.124,-1.164,8.619,-0.044,0.029,-0.042
-5.131,-1.183,8.593,-0.044,0.027,-0.044
-5.138,-1.199,8.617,-0.046,0.025,-0.044
-5.140,-1.202,8.645,-0.047,0.022,-0.045
-5.143,-1.216,8.643,-0.049,0.020,-0.044
-5.133,-1.226,8.641,-0.050,0.019,-0.045
-5.138,-1.245,8.665,-0.053,0.017,-0.046
-5.140,-1.255,8.684,-0.055,0.017,-0.047
-5.143,-1.279,8.712,-0.056,0.018,-0.046
-5.155,-1.317,8.693,-0.055,0.019,-0.046
-5.162,-1.353,8.712,-0.053,0.021,-0.045
-5.169,-1.403,8.686,-0.047,0.026,-0.043
-5.171,-1.429,8.672,-0.046,0.029,-0.041
-5.183,-1.448,8.655,-0.044,0.030,-0.038
-5.191,-1.468,8.667,-0.042,0.031,-0.036
-5.195,-1.484,8.665,-0.040,0.032,-0.031
-5.188,-1.484,8.655,-0.039,0.033,-0.026
-5.186,-1.492,8.626,-0.039,0.035,-0.021
-5.203,-1.492,8.622,-0.039,0.035,-0.017
-5.217,-1.468,8.617,-0.040,0.037,-0.013
-5.224,-1.472,8.612,-0.043,0.039,-0.008
-5.229,-1.489,8.617,-0.042,0.041,-0.005
-5.241,-1.499,8.629,-0.041,0.042,-0.001
-5.243,-1.499,8.626,-0.038,0.045,0.003
-5.246,-1.489,8.607,-0.033,0.048,0.006
-5.250,-1.477,8.605,-0.029,0.050,0.009
-5.262,-1.453,8.614,-0.024,0.052,0.011
-5.267,-1.451,8.629,-0.021,0.055,0.014
-5.267,-1.444,8.600,-0.019,0.058,0.015
-5.277,-1.446,8.574,-0.017,0.061,0.017
-5.294,-1.458,8.581,-0.014,0.065,0.021
-5.303,-1.453,8.578,-0.010,0.066,0.023
-5.320,-1.439,8.550,-0.007,0.067,0.027
-5.320,-1.427,8.533,-0.005,0.068,0.031
-5.315,-1.405,8.538,-0.004,0.067,0.034
-5.308,-1.386,8.547,-0.005,0.067,0.036
-5.303,-1.384,8.540,-0.008,0.068,0.038
-5.320,-1.374,8.543,-0.010,0.067,0.041
-5.306,-1.341,8.495,-0.012,0.066,0.043
-5.301,-1.317,8.490,-0.011,0.064,0.045
-5.315,-1.276,8.466,-0.010,0.062,0.046
-5.303,-1.271,8.449,-0.008,0.059,0.047
-5.294,-1.262,8.440,-0.007,0.055,0.048
-5.298,-1.255,8.447,-0.007,0.050,0.048
-5.296,-1.226,8.437,-0.009,0.046,0.049
-5.291,-1.197,8.423,-0.011,0.043,0.048
-5.289,-1.178,8.442,-0.013,0.039,0.046
-5.277,-1.154,8.459,-0.014,0.035,0.042
-5.270,-1.128,8.499,-0.014,0.032,0.040
-5.265,-1.097,8.507,-0.012,0.030,0.037
-5.272,-1.068,8.552,-0.009,0.029,0.034
-5.265,-1.032,8.593,-0.006,0.028,0.029
-5.258,-0.998,8.588,-0.004,0.028,0.024
-5.241,-0.972,8.590,-0.003,0.028,0.019
-5.212,-0.962,8.583,-0.003,0.027,0.011
-5.195,-0.950,8.586,-0.003,0.026,0.007
-5.181,-0.950,8.593,-0.002,0.024,0.001
-5.167,-0.931,8.612,0.000,0.023,-0.005
-5.150,-0.927,8.610,0.003,0.020,-0.010
-5.119,-0.912,8.600,0.005,0.017,-0.015
-5.095,-0.929,8.600,0.007,0.012,-0.020
-5.083,-0.934,8.590,0.007,0.007,-0.025
-5.080,-0.936,8.607,0.007,0.003,-0.027
-5.064,-0.948,8.643,0.006,-0.003,-0.031
-5.035,-0.946,8.679,0.005,-0.007,-0.033
-5.004,-0.960,8.703,0.004,-0.010,-0.035
-4.997,-1.032,8.732,0.003,-0.012,-0.038
-4.970,-1.049,8.741,0.004,-0.013,-0.038
-4.970,-1.044,8.775,0.006,-0.014,-0.037
-4.970,-1.058,8.787,0.008,-0.014,-0.035
-4.970,-1.085,8.813,0.009,-0.014,-0.033
-4.954,-1.104,8.832,0.007,-0.013,-0.030
-4.946,-1.128,8.839,0.006,-0.013,-0.027
-4.958,-1.142,8.827,0.006,-0.012,-0.024
-4.963,-1.173,8.868,0.004,-0.011,-0.020
-4.975,-1.188,8.902,0.005,-0.009,-0.015
-4.982,-1.202,8.926,0.003,-0.006,-0.011
-4.999,-1.204,8.911,0.002,-0.003,-0.009
-5.009,-1.226,8.894,0.001,0.001,-0.005
-5.018,-1.238,8.909,-0.002,0.005,-0.001
-5.047,-1.245,8.892,-0.002,0.009,0.002
-5.054,-1.247,8.844,-0.002,0.013,0.006
-5.076,-1.238,8.811,-0.001,0.017,0.008
-5.092,-1.235,8.748,-0.001,0.021,0.011
-5.112,-1.238,8.710,0.001,0.023,0.014
-5.140,-1.247,8.674,0.003,0.024,0.017
-5.150,-1.257,8.624,0.005,0.024,0.018
-5.167,-1.250,8.598,0.007,0.021,0.020
-5.176,-1.231,8.571,0.007,0.019,0.021
-5.191,-1.228,8.545,0.007,0.016,0.022
-5.198,-1.214,8.528,0.007,0.014,0.023
-5.229,-1.192,8.526,0.008,0.013,0.024
-5.265,-1.168,8.547,0.011,0.012,0.024
-5.291,-1.137,8.588,0.019,0.014,0.021
-5.315,-1.104,8.624,0.025,0.016,0.019
-5.310,-1.082,8.633,0.030,0.019,0.016
-5.337,-1.049,8.636,0.037,0.022,0.012
-5.344,-1.030,8.629,0.041,0.024,0.009
-5.327,-1.006,8.612,0.048,0.027,0.005
-5.339,-0.989,8.605,0.054,0.029,-0.001
