7.736,0.350,6.280,0.079,-0.105,0.065,342080
7.748,0.338,6.309,0.083,-0.104,0.079,342084
7.781,0.340,6.352,0.084,-0.100,0.091,342088
7.812,0.333,6.381,0.082,-0.098,0.100,342092
7.846,0.345,6.414,0.074,-0.093,0.111,342096
7.906,0.376,6.440,0.059,-0.087,0.120,342100
7.985,0.393,6.455,0.038,-0.081,0.128,342104
8.023,0.419,6.476,0.013,-0.076,0.134,342107
8.083,0.457,6.517,-0.012,-0.073,0.136,342111
8.124,0.474,6.551,-0.029,-0.071,0.136,342115
8.191,0.503,6.589,-0.043,-0.071,0.134,342119
8.238,0.541,6.651,-0.050,-0.069,0.128,342123
8.258,0.577,6.697,-0.048,-0.068,0.121,342127
8.277,0.608,6.718,-0.039,-0.065,0.111,342130
8.238,0.630,6.756,-0.026,-0.060,0.099,342135
8.195,0.646,6.780,-0.008,-0.052,0.084,342138
8.135,0.646,6.783,0.010,-0.040,0.068,342142
8.100,0.639,6.790,0.023,-0.028,0.053,342146
8.049,0.632,6.788,0.039,-0.009,0.033,342150
8.018,0.622,6.764,0.053,0.013,0.011,342154
7.977,0.572,6.692,0.066,0.037,-0.011,342157
7.951,0.522,6.649,0.078,0.061,-0.031,342161
7.934,0.484,6.603,0.089,0.078,-0.044,342165
7.903,0.407,6.534,0.103,0.097,-0.058,342169
7.867,0.342,6.428,0.119,0.113,-0.068,342173
7.836,0.165,6.237,0.151,0.134,-0.073,342181
7.827,0.041,6.122,0.168,0.139,-0.061,342187
7.798,-0.045,6.041,0.174,0.137,-0.041,342191
7.776,-0.105,5.988,0.173,0.134,-0.023,342195
7.774,-0.160,5.914,0.165,0.129,0.005,342199
7.772,-0.199,5.856,0.148,0.123,0.039,342203
7.793,-0.213,5.820,0.118,0.115,0.076,342207
7.805,-0.199,5.777,0.076,0.106,0.114,342210
7.822,-0.187,5.772,0.038,0.096,0.143,342214
7.858,-0.146,5.772,-0.021,0.084,0.178,342218
7.891,-0.074,5.808,-0.084,0.070,0.211,342222
7.913,0.036,5.861,-0.146,0.058,0.240,342226
7.913,0.141,5.923,-0.201,0.049,0.264,342229
7.913,0.302,6.014,-0.257,0.045,0.285,342235
7.918,0.443,6.084,-0.289,0.047,0.294,342239
7.879,0.572,6.141,-0.309,0.055,0.295,342243
7.836,0.682,6.203,-0.319,0.068,0.286,342246
7.819,0.759,6.230,-0.321,0.081,0.274,342250
7.796,0.843,6.249,-0.314,0.101,0.251,342254
7.800,0.907,6.235,-0.300,0.121,0.220,342258
7.812,0.946,6.179,-0.274,0.137,0.181,342262
7.848,0.962,6.132,-0.237,0.150,0.138,342265
7.894,0.960,6.096,-0.190,0.155,0.093,342269
7.910,0.950,6.036,-0.147,0.153,0.059,342273
7.939,0.879,5.923,-0.044,0.138,-0.005,342279
7.925,0.771,5.794,0.063,0.108,-0.062,342285
7.939,0.642,5.768,0.147,0.075,-0.100,342289
7.956,0.558,5.756,0.192,0.053,-0.121,342293
7.970,0.443,5.725,0.244,0.022,-0.144,342297
7.987,0.340,5.763,0.287,-0.010,-0.163,342301
7.997,0.256,5.818,0.319,-0.041,-0.176,342305
7.999,0.146,5.883,0.343,-0.070,-0.184,342308
8.018,0.067,5.942,0.357,-0.090,-0.187,342312
8.028,-0.034,6.026,0.368,-0.111,-0.186,342316
8.018,-0.122,6.134,0.375,-0.128,-0.179,342320
8.023,-0.204,6.278,0.375,-0.139,-0.167,342324
8.018,-0.254,6.378,0.369,-0.143,-0.149,342327
8.037,-0.333,6.517,0.350,-0.137,-0.121,342333
8.056,-0.364,6.625,0.325,-0.123,-0.095,342337
8.064,-0.385,6.732,0.292,-0.103,-0.066,342341
8.071,-0.402,6.816,0.249,-0.076,-0.036,342345
8.066,-0.395,6.879,0.200,-0.042,-0.006,342349
8.061,-0.373,6.931,0.144,-0.004,0.024,342352
8.054,-0.366,6.955,0.086,0.039,0.051,342356
8.059,-0.342,6.946,0.043,0.071,0.070,342360
8.056,-0.328,6.922,-0.013,0.114,0.095,342364
8.059,-0.287,6.855,-0.063,0.153,0.115,342368
8.073,-0.244,6.752,-0.107,0.189,0.135,342372
8.085,-0.182,6.622,-0.150,0.224,0.156,342377
8.092,-0.144,6.500,-0.173,0.245,0.169,342381
8.092,-0.098,6.397,-0.185,0.257,0.181,342385
8.092,-0.057,6.294,-0.190,0.263,0.190,342389
8.100,-0.024,6.194,-0.187,0.263,0.197,342392
8.112,0.007,6.115,-0.175,0.256,0.200,342396
8.109,0.036,6.060,-0.162,0.249,0.201,342400
8.133,0.079,6.000,-0.139,0.236,0.201,342404
8.159,0.108,5.928,-0.111,0.219,0.199,342408
8.176,0.127,5.895,-0.079,0.200,0.195,342412
8.179,0.144,5.863,-0.044,0.179,0.189,342415
8.186,0.139,5.871,-0.019,0.163,0.184,342419
8.159,0.139,5.859,0.020,0.137,0.175,342424
8.121,0.139,5.875,0.065,0.110,0.163,342430
8.097,0.129,5.863,0.090,0.095,0.156,342434
8.078,0.110,5.878,0.113,0.085,0.149,342438
8.066,0.081,5.883,0.134,0.077,0.144,342442
8.056,0.062,5.878,0.155,0.070,0.140,342446
8.059,0.036,5.878,0.175,0.064,0.140,342449
8.042,0.012,5.854,0.189,0.061,0.141,342453
8.037,-0.034,5.859,0.205,0.057,0.145,342457
8.021,-0.072,5.854,0.219,0.053,0.154,342461
8.016,-0.098,5.835,0.227,0.049,0.165,342465
8.009,-0.129,5.808,0.228,0.043,0.178,342468
8.030,-0.148,5.780,0.217,0.033,0.198,342474
8.037,-0.165,5.775,0.202,0.022,0.217,342478
8.042,-0.160,5.753,0.182,0.009,0.238,342482
8.054,-0.136,5.765,0.160,-0.005,0.260,342486
8.052,-0.096,5.799,0.137,-0.018,0.283,342490
8.054,-0.057,5.842,0.111,-0.029,0.306,342493
8.054,-0.019,5.895,0.090,-0.035,0.322,342497
8.056,0.048,5.964,0.060,-0.039,0.340,342501
8.061,0.122,6.033,0.030,-0.041,0.354,342505
8.040,0.192,6.103,0.001,-0.040,0.363,342509
8.023,0.268,6.153,-0.024,-0.034,0.366,342512
8.016,0.333,6.194,-0.042,-0.025,0.364,342516
8.016,0.407,6.206,-0.048,-0.013,0.356,342521
8.001,0.484,6.203,-0.040,0.007,0.335,342527
7.989,0.524,6.177,-0.019,0.019,0.317,342531
7.973,0.541,6.117,0.010,0.030,0.296,342535
7.956,0.548,6.043,0.048,0.037,0.275,342538
