-3.112,-4.293,-8.705,-0.139,-0.016,0.119,86062
-3.170,-4.266,-8.641,-0.092,-0.018,0.082,86067
-3.199,-4.262,-8.576,-0.055,-0.019,0.051,86071
-3.218,-4.238,-8.475,-0.020,-0.020,0.018,86075
-3.220,-4.219,-8.377,0.012,-0.018,-0.015,86078
-3.213,-4.235,-8.274,0.038,-0.017,-0.048,86082
-3.187,-4.257,-8.183,0.059,-0.014,-0.080,86086
-3.160,-4.286,-8.083,0.076,-0.010,-0.110,86090
-3.129,-4.319,-7.989,0.086,-0.007,-0.131,86094
-3.089,-4.377,-7.908,0.095,-0.004,-0.158,86097
-3.033,-4.458,-7.834,0.102,-0.001,-0.183,86101
-2.974,-4.537,-7.776,0.106,0.003,-0.205,86105
-2.904,-4.623,-7.702,0.107,0.005,-0.224,86109
-2.856,-4.714,-7.683,0.110,0.007,-0.239,86113
-2.796,-4.812,-7.659,0.115,0.007,-0.252,86117
-2.765,-4.877,-7.647,0.119,0.008,-0.261,86121
-2.722,-4.961,-7.642,0.126,0.010,-0.268,86125
-2.698,-5.061,-7.645,0.131,0.012,-0.272,86128
-2.693,-5.164,-7.633,0.138,0.015,-0.275,86132
-2.662,-5.286,-7.602,0.143,0.016,-0.276,86136
-2.660,-5.363,-7.575,0.145,0.015,-0.274,86140
-2.646,-5.476,-7.549,0.147,0.013,-0.270,86144
-2.617,-5.567,-7.527,0.149,0.009,-0.263,86147
-2.600,-5.643,-7.491,0.149,0.007,-0.254,86151
-2.562,-5.732,-7.410,0.148,0.003,-0.237,86158
-2.516,-5.772,-7.343,0.147,0.000,-0.218,86162
-2.488,-5.804,-7.307,0.144,-0.002,-0.206,86166
-2.456,-5.818,-7.252,0.139,-0.005,-0.190,86170
-2.421,-5.825,-7.180,0.132,-0.007,-0.173,86173
-2.387,-5.816,-7.130,0.123,-0.007,-0.155,86177
-2.354,-5.823,-7.061,0.111,-0.006,-0.139,86181
-2.334,-5.804,-7.034,0.102,-0.004,-0.126,86185
-2.301,-5.796,-6.979,0.088,-0.000,-0.108,86189
-2.260,-5.782,-6.929,0.070,0.004,-0.090,86192
-2.210,-5.760,-6.898,0.049,0.010,-0.072,86196
-2.176,-5.751,-6.905,0.025,0.013,-0.054,86200
-2.160,-5.722,-6.926,-0.002,0.016,-0.035,86204
-2.128,-5.686,-6.938,-0.030,0.019,-0.015,86208
-2.109,-5.657,-6.958,-0.059,0.019,0.006,86212
-2.097,-5.622,-6.984,-0.082,0.020,0.022,86216
-2.083,-5.578,-7.061,-0.112,0.019,0.044,86220
-2.076,-5.533,-7.171,-0.140,0.017,0.067,86223
-2.078,-5.471,-7.266,-0.167,0.015,0.091,86227
-2.083,-5.404,-7.384,-0.192,0.012,0.114,86231
-2.095,-5.334,-7.491,-0.210,0.010,0.132,86235
-2.155,-5.258,-7.609,-0.229,0.006,0.155,86239
-2.200,-5.176,-7.726,-0.248,0.002,0.175,86242
-2.272,-5.057,-7.906,-0.272,-0.002,0.204,86249
-2.363,-4.954,-8.023,-0.297,-0.001,0.228,86255
-2.418,-4.884,-8.126,-0.314,0.000,0.243,86259
-2.500,-4.843,-8.229,-0.327,-0.002,0.256,86263
-2.569,-4.824,-8.308,-0.338,-0.008,0.265,86266
-2.641,-4.769,-8.380,-0.343,-0.015,0.271,86270
-2.729,-4.709,-8.468,-0.341,-0.024,0.272,86274
-2.796,-4.666,-8.523,-0.335,-0.029,0.270,86278
-2.875,-4.626,-8.578,-0.320,-0.036,0.264,86282
-2.954,-4.578,-8.614,-0.296,-0.042,0.254,86285
-3.038,-4.554,-8.617,-0.265,-0.045,0.239,86289
-3.110,-4.518,-8.595,-0.230,-0.048,0.221,86293
-3.179,-4.463,-8.569,-0.190,-0.050,0.199,86297
-3.242,-4.420,-8.514,-0.148,-0.050,0.173,86301
-3.311,-4.357,-8.464,-0.107,-0.046,0.145,86305
-3.354,-4.322,-8.392,-0.067,-0.040,0.114,86309
-3.371,-4.281,-8.329,-0.040,-0.035,0.090,86313
-3.378,-4.257,-8.243,-0.008,-0.027,0.055,86316
-3.385,-4.243,-8.121,0.021,-0.021,0.021,86320
-3.369,-4.252,-8.018,0.042,-0.016,-0.013,86324
-3.340,-4.271,-7.918,0.057,-0.013,-0.047,86328
-3.311,-4.281,-7.843,0.066,-0.011,-0.071,86332
-3.263,-4.338,-7.755,0.073,-0.010,-0.102,86336
-3.144,-4.489,-7.609,0.076,-0.007,-0.155,86344
-3.057,-4.580,-7.554,0.075,-0.004,-0.177,86348
-2.998,-4.666,-7.549,0.076,-0.001,-0.195,86351
-2.938,-4.762,-7.530,0.078,0.003,-0.213,86355
-2.875,-4.848,-7.515,0.083,0.009,-0.227,86359
-2.837,-4.949,-7.537,0.090,0.017,-0.239,86363
-2.811,-5.033,-7.544,0.096,0.023,-0.246,86367
-2.756,-5.143,-7.566,0.104,0.030,-0.253,86370
-2.725,-5.250,-7.554,0.111,0.034,-0.257,86374
-2.691,-5.361,-7.554,0.119,0.035,-0.256,86378
-2.653,-5.480,-7.532,0.124,0.033,-0.253,86382
-2.622,-5.545,-7.513,0.127,0.030,-0.248,86386
-2.543,-5.624,-7.499,0.130,0.023,-0.235,86390
-2.500,-5.684,-7.496,0.131,0.017,-0.222,86394
-2.476,-5.710,-7.460,0.130,0.014,-0.211,86398
-2.433,-5.746,-7.398,0.129,0.008,-0.193,86402
-2.418,-5.777,-7.365,0.125,0.003,-0.173,86405
-2.382,-5.796,-7.321,0.117,-0.000,-0.151,86409
-2.354,-5.784,-7.259,0.106,-0.004,-0.128,86413
-2.342,-5.782,-7.211,0.096,-0.005,-0.112,86417
-2.320,-5.760,-7.159,0.079,-0.005,-0.090,86421
-2.303,-5.732,-7.125,0.060,-0.004,-0.067,86424
-2.267,-5.708,-7.075,0.037,-0.001,-0.044,86428
-2.263,-5.669,-7.053,0.000,0.001,-0.010,86434
-2.239,-5.629,-7.044,-0.035,0.003,0.015,86440
-2.248,-5.588,-7.094,-0.071,0.002,0.043,86444
-2.234,-5.540,-7.142,-0.092,0.001,0.059,86448
-2.222,-5.480,-7.175,-0.120,-0.002,0.081,86452
-2.243,-5.411,-7.238,-0.147,-0.006,0.103,86455
-2.239,-5.322,-7.298,-0.172,-0.010,0.123,86459
-2.265,-5.236,-7.381,-0.196,-0.014,0.141,86463
-2.289,-5.171,-7.453,-0.211,-0.015,0.155,86467
-2.315,-5.080,-7.561,-0.230,-0.017,0.170,86471
-2.351,-4.992,-7.654,-0.246,-0.017,0.184,86474
-2.399,-4.911,-7.724,-0.261,-0.015,0.196,86478
-2.437,-4.820,-7.800,-0.278,-0.011,0.207,86483
-2.483,-4.774,-7.894,-0.294,-0.008,0.218,86486
-2.545,-4.745,-7.975,-0.310,-0.008,0.229,86490
-2.610,-4.695,-8.073,-0.322,-0.012,0.238,86494
-2.670,-4.654,-8.164,-0.330,-0.017,0.245,86498
-2.720,-4.614,-8.231,-0.332,-0.020,0.248,86502
-2.808,-4.573,-8.334,-0.327,-0.024,0.248,86505
-2.904,-4.527,-8.380,-0.316,-0.027,0.244,86509
-2.983,-4.515,-8.440,-0.299,-0.030,0.237,86513
-3.084,-4.511,-8.492,-0.276,-0.033,0.225,86517
-3.156,-4.487,-8.519,-0.256,-0.035,0.213,86521
-3.304,-4.417,-8.538,-0.201,-0.037,0.177,86528
-3.369,-4.369,-8.509,-0.156,-0.035,0.147,86532
-3.397,-4.345,-8.473,-0.128,-0.032,0.127,86536
-3.431,-4.305,-8.442,-0.091,-0.027,0.100,86540
-3.460,-4.257,-8.356,-0.056,-0.022,0.069,86543
-3.445,-4.238,-8.279,-0.024,-0.016,0.037,86547
-3.436,-4.243,-8.188,0.005,-0.010,0.004,86551
-3.412,-4.247,-8.083,0.027,-0.003,-0.029,86555
-3.390,-4.269,-8.011,0.042,0.001,-0.053,86559
-3.347,-4.290,-7.925,0.057,0.006,-0.085,86562
-3.304,-4.336,-7.829,0.068,0.011,-0.116,86566
-3.225,-4.393,-7.750,0.077,0.016,-0.144,86570
-3.103,-4.508,-7.652,0.086,0.023,-0.183,86576
-3.031,-4.597,-7.602,0.090,0.027,-0.205,86580
-2.969,-4.685,-7.611,0.096,0.030,-0.224,86584
-2.897,-4.784,-7.609,0.105,0.032,-0.239,86588
-2.830,-4.889,-7.606,0.115,0.035,-0.253,86592
-2.782,-4.973,-7.592,0.124,0.039,-0.261,86596
-2.710,-5.071,-7.609,0.135,0.044,-0.268,86599
-2.672,-5.171,-7.594,0.145,0.047,-0.272,86603
-2.646,-5.298,-7.570,0.154,0.050,-0.272,86607
-2.619,-5.385,-7.523,0.162,0.051,-0.269,86611
-2.598,-5.461,-7.501,0.166,0.051,-0.265,86615
-2.588,-5.550,-7.479,0.169,0.049,-0.257,86619
-2.567,-5.629,-7.427,0.169,0.046,-0.240,86624
-2.535,-5.698,-7.393,0.167,0.044,-0.225,86628
-2.514,-5.729,-7.362,0.164,0.042,-0.213,86632
-2.478,-5.765,-7.295,0.157,0.040,-0.196,86636
-2.447,-5.780,-7.228,0.147,0.037,-0.177,86639
-2.421,-5.787,-7.190,0.135,0.035,-0.158,86643
-2.413,-5.796,-7.147,0.118,0.033,-0.138,86647
