5.590,4.276,7.125,-0.090,0.153,0.011,110812
5.607,4.257,7.137,-0.084,0.145,0.012,110817
5.614,4.257,7.151,-0.081,0.137,0.014,110821
5.626,4.254,7.163,-0.076,0.128,0.018,110825
5.641,4.274,7.202,-0.070,0.120,0.023,110829
5.653,4.300,7.214,-0.064,0.110,0.029,110832
5.655,4.336,7.209,-0.060,0.102,0.035,110836
5.665,4.389,7.197,-0.057,0.094,0.037,110840
5.689,4.458,7.199,-0.056,0.085,0.038,110844
5.705,4.503,7.209,-0.055,0.076,0.038,110848
5.737,4.554,7.235,-0.053,0.068,0.036,110851
5.734,4.590,7.257,-0.052,0.060,0.032,110855
5.744,4.630,7.271,-0.050,0.055,0.027,110859
5.741,4.662,7.298,-0.050,0.048,0.021,110863
5.737,4.695,7.298,-0.051,0.042,0.013,110867
5.739,4.717,7.276,-0.053,0.037,0.003,110871
5.741,4.741,7.264,-0.059,0.031,-0.010,110875
5.725,4.774,7.250,-0.065,0.026,-0.024,110879
5.715,4.781,7.240,-0.070,0.018,-0.040,110882
5.739,4.772,7.211,-0.076,0.011,-0.058,110886
5.765,4.769,7.190,-0.082,0.004,-0.072,110890
5.804,4.736,7.175,-0.091,-0.005,-0.091,110894
5.837,4.693,7.171,-0.102,-0.012,-0.111,110898
5.866,4.626,7.163,-0.115,-0.019,-0.130,110901
5.883,4.523,7.171,-0.125,-0.029,-0.145,110905
5.914,4.276,7.168,-0.136,-0.053,-0.157,110914
5.933,4.175,7.195,-0.134,-0.064,-0.153,110918
5.935,4.101,7.221,-0.129,-0.075,-0.144,110922
5.952,4.068,7.223,-0.124,-0.081,-0.136,110926
5.969,4.020,7.242,-0.117,-0.089,-0.124,110930
5.971,3.982,7.257,-0.110,-0.097,-0.113,110934
5.978,3.948,7.264,-0.099,-0.104,-0.099,110938
5.993,3.898,7.283,-0.088,-0.110,-0.085,110941
5.990,3.847,7.266,-0.075,-0.117,-0.067,110945
5.988,3.824,7.274,-0.065,-0.123,-0.051,110949
5.959,3.780,7.286,-0.048,-0.130,-0.029,110953
5.930,3.745,7.302,-0.028,-0.137,-0.003,110957
5.899,3.740,7.321,-0.004,-0.142,0.025,110961
5.868,3.742,7.314,0.020,-0.148,0.054,110965
5.820,3.780,7.338,0.043,-0.152,0.081,110969
5.789,3.840,7.367,0.063,-0.155,0.107,110972
5.744,3.907,7.379,0.084,-0.157,0.130,110976
5.720,3.972,7.420,0.098,-0.157,0.144,110980
5.703,4.068,7.412,0.114,-0.159,0.161,110984
5.679,4.166,7.427,0.123,-0.161,0.173,110988
5.638,4.257,7.396,0.126,-0.161,0.179,110991
5.612,4.322,7.350,0.124,-0.161,0.179,110995
5.583,4.377,7.336,0.120,-0.160,0.177,110999
5.504,4.451,7.290,0.102,-0.157,0.165,111006
5.464,4.465,7.235,0.086,-0.158,0.155,111012
5.437,4.472,7.178,0.075,-0.159,0.146,111016
5.401,4.468,7.135,0.064,-0.161,0.138,111020
5.375,4.441,7.128,0.056,-0.164,0.132,111023
5.349,4.427,7.111,0.051,-0.166,0.128,111027
5.318,4.420,7.116,0.048,-0.168,0.125,111031
5.279,4.436,7.092,0.045,-0.170,0.122,111035
5.258,4.444,7.077,0.043,-0.171,0.119,111039
5.246,4.458,7.061,0.045,-0.172,0.116,111042
5.236,4.468,7.037,0.048,-0.172,0.113,111046
5.212,4.468,7.034,0.052,-0.174,0.112,111050
5.179,4.484,7.001,0.058,-0.175,0.111,111054
5.152,4.506,6.967,0.060,-0.176,0.106,111058
5.133,4.525,6.943,0.062,-0.178,0.099,111062
5.126,4.544,6.891,0.062,-0.181,0.090,111066
5.116,4.535,6.859,0.061,-0.186,0.079,111070
5.119,4.515,6.838,0.062,-0.192,0.070,111073
5.114,4.523,6.833,0.064,-0.199,0.061,111077
5.109,4.499,6.845,0.067,-0.205,0.054,111081
5.104,4.501,6.874,0.067,-0.208,0.048,111085
5.107,4.499,6.922,0.064,-0.212,0.041,111089
5.090,4.513,6.962,0.060,-0.215,0.032,111093
5.092,4.513,7.008,0.055,-0.216,0.022,111096
5.102,4.520,7.051,0.049,-0.217,0.010,111100
5.097,4.530,7.077,0.037,-0.216,-0.012,111106
5.126,4.513,7.125,0.019,-0.213,-0.037,111112
5.138,4.489,7.125,0.006,-0.212,-0.051,111116
5.143,4.463,7.130,-0.004,-0.211,-0.063,111120
5.167,4.424,7.147,-0.016,-0.212,-0.076,111124
5.188,4.391,7.197,-0.026,-0.212,-0.086,111128
5.215,4.365,7.254,-0.037,-0.211,-0.097,111131
5.229,4.345,7.298,-0.046,-0.208,-0.106,111135
5.239,4.319,7.343,-0.057,-0.204,-0.117,111139
5.243,4.286,7.391,-0.064,-0.198,-0.124,111143
5.236,4.243,7.410,-0.074,-0.190,-0.134,111147
5.243,4.187,7.412,-0.082,-0.181,-0.142,111151
5.224,4.144,7.391,-0.089,-0.171,-0.148,111155
5.222,4.106,7.365,-0.094,-0.164,-0.151,111159
5.215,4.053,7.355,-0.097,-0.157,-0.152,111163
5.215,4.003,7.360,-0.098,-0.152,-0.151,111166
5.207,3.946,7.357,-0.098,-0.146,-0.150,111170
5.203,3.926,7.384,-0.096,-0.141,-0.148,111174
5.193,3.898,7.391,-0.095,-0.134,-0.145,111178
5.188,3.864,7.408,-0.095,-0.125,-0.143,111182
5.183,3.838,7.446,-0.095,-0.115,-0.141,111185
5.181,3.812,7.424,-0.096,-0.105,-0.139,111189
5.188,3.788,7.415,-0.098,-0.098,-0.136,111193
5.164,3.768,7.386,-0.104,-0.084,-0.130,111199
5.148,3.773,7.341,-0.114,-0.072,-0.125,111205
5.145,3.788,7.331,-0.122,-0.064,-0.123,111209
5.152,3.795,7.321,-0.135,-0.055,-0.123,111213
5.167,3.790,7.288,-0.148,-0.047,-0.127,111216
5.160,3.778,7.262,-0.163,-0.039,-0.131,111220
5.167,3.752,7.240,-0.173,-0.034,-0.135,111224
5.167,3.694,7.228,-0.185,-0.029,-0.136,111228
5.176,3.646,7.216,-0.193,-0.023,-0.136,111232
5.176,3.589,7.187,-0.199,-0.018,-0.134,111235
5.176,3.548,7.159,-0.201,-0.015,-0.128,111239
5.169,3.469,7.106,-0.201,-0.015,-0.120,111243
5.176,3.426,7.080,-0.199,-0.014,-0.113,111247
5.157,3.381,7.068,-0.192,-0.015,-0.096,111251
5.152,3.352,7.070,-0.183,-0.017,-0.080,111255
5.157,3.335,7.089,-0.176,-0.017,-0.067,111259
5.167,3.328,7.132,-0.164,-0.016,-0.048,111263
5.167,3.335,7.187,-0.152,-0.013,-0.029,111267
5.164,3.354,7.209,-0.142,-0.008,-0.011,111270
5.162,3.366,7.216,-0.131,-0.002,0.005,111274
5.140,3.378,7.233,-0.122,0.003,0.018,111278
5.133,3.419,7.240,-0.112,0.010,0.034,111282
5.119,3.443,7.252,-0.101,0.016,0.049,111286
5.116,3.484,7.288,-0.090,0.022,0.064,111289
