5.574,2.385,8.018,-0.011,0.160,0.123,60055
5.559,2.409,8.028,-0.021,0.151,0.127,60060
5.557,2.447,8.040,-0.026,0.147,0.130,60064
5.547,2.488,8.052,-0.027,0.144,0.130,60067
5.531,2.528,8.073,-0.026,0.142,0.130,60071
5.533,2.559,8.066,-0.023,0.139,0.128,60075
5.540,2.600,8.076,-0.019,0.136,0.124,60079
5.557,2.624,8.083,-0.015,0.131,0.120,60083
5.564,2.653,8.097,-0.013,0.127,0.117,60086
5.576,2.658,8.112,-0.009,0.121,0.112,60090
5.581,2.653,8.133,-0.006,0.116,0.106,60094
5.571,2.672,8.152,-0.002,0.112,0.102,60098
5.569,2.670,8.191,-0.002,0.111,0.098,60102
5.559,2.682,8.207,-0.003,0.113,0.093,60105
5.571,2.682,8.246,-0.009,0.116,0.086,60110
5.574,2.682,8.253,-0.015,0.120,0.082,60114
5.576,2.698,8.238,-0.022,0.125,0.074,60117
5.588,2.708,8.198,-0.027,0.129,0.066,60121
5.588,2.713,8.167,-0.032,0.133,0.058,60125
5.600,2.725,8.135,-0.036,0.133,0.049,60129
5.602,2.713,8.116,-0.038,0.132,0.042,60133
5.619,2.701,8.090,-0.044,0.128,0.032,60136
5.634,2.674,8.071,-0.050,0.123,0.022,60140
5.662,2.667,8.054,-0.055,0.115,0.012,60144
5.660,2.629,8.030,-0.059,0.107,0.004,60148
5.667,2.516,8.042,-0.055,0.091,-0.004,60155
5.665,2.421,8.066,-0.049,0.081,-0.003,60161
5.672,2.356,8.073,-0.045,0.076,0.000,60165
5.677,2.310,8.116,-0.042,0.074,0.009,60169
5.672,2.284,8.138,-0.040,0.074,0.016,60173
5.672,2.255,8.143,-0.039,0.074,0.028,60176
5.672,2.253,8.164,-0.039,0.076,0.040,60180
5.662,2.289,8.179,-0.041,0.079,0.052,60184
5.655,2.325,8.159,-0.042,0.083,0.062,60188
5.646,2.356,8.143,-0.042,0.086,0.067,60192
5.636,2.406,8.119,-0.039,0.089,0.072,60195
5.641,2.433,8.073,-0.034,0.092,0.075,60199
5.646,2.437,8.013,-0.029,0.092,0.075,60203
5.655,2.435,7.980,-0.023,0.091,0.076,60207
5.662,2.416,7.932,-0.017,0.086,0.078,60211
5.648,2.389,7.882,-0.011,0.080,0.082,60215
5.610,2.377,7.846,-0.008,0.073,0.087,60219
5.598,2.370,7.817,-0.005,0.068,0.091,60223
5.595,2.375,7.798,-0.003,0.059,0.097,60226
5.598,2.365,7.772,-0.000,0.048,0.103,60230
5.600,2.382,7.767,0.003,0.037,0.110,60234
5.571,2.406,7.762,0.008,0.024,0.116,60238
5.569,2.421,7.752,0.012,0.016,0.120,60242
5.531,2.437,7.755,0.015,0.006,0.125,60245
5.521,2.478,7.788,0.020,-0.003,0.130,60249
