2.002,0.383,-9.378,-0.290,-0.062,0.009,62591
2.011,0.385,-9.416,-0.297,-0.068,0.009,62596
2.006,0.397,-9.428,-0.302,-0.075,0.007,62599
1.994,0.414,-9.448,-0.304,-0.081,0.006,62603
1.982,0.426,-9.483,-0.303,-0.082,0.006,62607
1.968,0.453,-9.512,-0.300,-0.079,0.009,62611
1.944,0.488,-9.562,-0.293,-0.070,0.014,62615
1.937,0.496,-9.594,-0.286,-0.060,0.019,62618
1.937,0.522,-9.622,-0.275,-0.047,0.025,62622
1.946,0.539,-9.615,-0.262,-0.033,0.032,62626
1.961,0.555,-9.608,-0.247,-0.019,0.038,62630
1.968,0.565,-9.629,-0.232,-0.008,0.042,62634
1.963,0.565,-9.658,-0.222,-0.002,0.044,62637
1.944,0.572,-9.668,-0.204,0.005,0.045,62642
1.932,0.577,-9.687,-0.189,0.007,0.046,62646
1.913,0.577,-9.704,-0.179,0.010,0.046,62649
1.903,0.584,-9.701,-0.166,0.015,0.046,62653
1.889,0.591,-9.677,-0.154,0.018,0.046,62657
1.879,0.584,-9.673,-0.143,0.024,0.045,62661
1.865,0.560,-9.661,-0.135,0.031,0.044,62665
1.860,0.563,-9.656,-0.130,0.038,0.044,62668
1.856,0.572,-9.653,-0.125,0.046,0.042,62672
1.865,0.560,-9.651,-0.121,0.055,0.038,62676
1.882,0.558,-9.661,-0.119,0.060,0.034,62680
1.911,0.515,-9.649,-0.119,0.062,0.030,62684
1.944,0.496,-9.658,-0.124,0.063,0.021,62690
1.968,0.508,-9.651,-0.131,0.060,0.015,62696
2.006,0.512,-9.663,-0.137,0.057,0.013,62700
2.035,0.515,-9.651,-0.141,0.054,0.013,62704
2.049,0.512,-9.682,-0.145,0.051,0.013,62707
2.073,0.524,-9.697,-0.148,0.047,0.013,62711
2.090,0.539,-9.752,-0.150,0.041,0.014,62715
2.128,0.539,-9.809,-0.149,0.035,0.015,62719
2.143,0.536,-9.852,-0.148,0.030,0.017,62723
2.136,0.536,-9.878,-0.145,0.026,0.019,62726
2.152,0.570,-9.883,-0.138,0.019,0.022,62730
2.155,0.587,-9.919,-0.129,0.009,0.025,62734
2.145,0.596,-9.943,-0.119,-0.001,0.028,62738
2.143,0.582,-9.967,-0.106,-0.010,0.031,62743
2.157,0.572,-9.989,-0.096,-0.013,0.035,62747
2.176,0.563,-10.005,-0.084,-0.010,0.038,62751
2.193,0.553,-9.989,-0.071,-0.005,0.042,62755
2.195,0.555,-9.984,-0.063,0.001,0.045,62758
2.205,0.543,-9.991,-0.052,0.007,0.051,62762
2.205,0.536,-9.998,-0.041,0.010,0.057,62766
2.217,0.536,-9.965,-0.030,0.014,0.065,62770
2.203,0.524,-9.938,-0.019,0.018,0.072,62774
2.186,0.517,-9.922,-0.012,0.021,0.078,62777
2.176,0.505,-9.905,-0.005,0.025,0.084,62781
2.148,0.464,-9.869,-0.003,0.028,0.091,62786
2.138,0.438,-9.799,-0.005,0.030,0.098,62793
2.150,0.436,-9.766,-0.010,0.025,0.102,62797
2.162,0.431,-9.735,-0.013,0.020,0.103,62800
2.160,0.419,-9.689,-0.018,0.010,0.105,62804
2.162,0.417,-9.677,-0.023,0.000,0.109,62808
2.155,0.424,-9.634,-0.029,-0.008,0.116,62812
2.138,0.433,-9.594,-0.036,-0.015,0.123,62816
2.114,0.424,-9.565,-0.043,-0.022,0.129,62819
2.126,0.441,-9.527,-0.052,-0.033,0.137,62823
